Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,intensity,laser_id,azimuth,distance_m,adjustedtime,timestamp
-2.444334745,17.54787636,-0.309256643,4,28,35207,17.72,874498670,874498670
-2.501331091,53.4370079,-1.244810581,24,29,35732,53.51,874498673,874498673
0.27614367,6.081156254,-0.177161351,20,30,260,6.09,874498676,874498676
0.843362629,6.148715973,-0.214786962,13,31,781,6.21,874498679,874498679
0.844202399,6.052796841,-0.688093901,1,1,794,6.15,874498687,874498687
0.55151695,4.472384453,0.183589831,5,2,703,4.51,874498690,874498690
-2.49918294,18.63127708,1.094757795,3,3,35236,18.83,874498693,874498693
0.690830946,5.247382164,0.428756922,12,4,750,5.31,874498696,874498696
-2.408600807,18.3943634,2.272039652,3,5,35254,18.69,874498699,874498699
0.804776907,6.055707455,1.11572516,13,6,757,6.21,874498702,874498702
-1.366688251,9.786452293,2.647718906,6,7,35205,10.23,874498705,874498705
-2.506791115,17.81418419,0.10455633,4,8,35199,17.99,874498708,874498708
-2.844365835,59.0014801,0,21,9,35724,59.07,874498711,874498711
0.273518384,6.093750477,-0.037358362,12,10,257,6.1,874498714,874498714
0.838166356,6.142682076,-0.070237875,14,11,777,6.2,874498717,874498717
-2.489741564,18.08166504,0.531193197,3,12,35216,18.26,874498720,874498720
-2.040409803,45.28210831,1.04058969,12,13,35742,45.34,874498723,874498723
0.283307374,6.052416801,0.107654519,18,14,268,6.06,874498726,874498726
0.845842183,6.111324787,0.071825482,17,15,788,6.17,874498729,874498729
-0.63463223,4.47595787,-0.289727658,2,20,35193,4.53,874498696,874498696
-0.181889012,3.666526794,-0.256703824,2,21,35716,3.68,874498699,874498699
0.140292525,3.187692642,-0.242761061,6,22,252,3.2,874498702,874498702
0.342314303,2.548559189,-0.209920332,2,23,765,2.58,874498705,874498705
-2.436619043,17.16352463,-0.706271291,5,24,35192,17.35,874498708,874498708
-2.574771643,53.40921021,-2.507516384,12,25,35724,53.53,874498711,874498711
0.267398864,6.075772285,-0.318725973,17,26,252,6.09,874498714,874498714
0.59780401,4.462508202,-0.262206972,12,27,763,4.51,874498717,874498717
-2.455261469,18.04092026,-0.31780833,4,28,35225,18.21,874498720,874498720
0.295731604,6.090242386,-0.177452266,15,30,278,6.1,874498726,874498726
0.864064336,6.155932903,-0.215132833,13,31,799,6.22,874498729,874498729
0.596915245,4.718447685,0.193766654,7,2,721,4.76,874498740,874498740
-2.505446196,19.13396645,1.123827219,3,3,35254,19.33,874498743,874498743
-2.348285675,18.38214684,2.269608259,3,5,35272,18.67,874498749,874498749
0.825124025,6.062896729,1.117521882,13,6,775,6.22,874498752,874498752
-1.337242365,9.800268173,2.65030694,6,7,35223,10.24,874498755,874498755
-2.497132778,18.15879631,0.10653238,4,8,35217,18.33,874498758,874498758
-2.658093214,58.99014282,0,18,9,35742,59.05,874498761,874498761
0.291701555,6.072884083,-0.037235878,11,10,275,6.08,874498764,874498764
0.857460022,6.140018463,-0.070237875,14,11,795,6.2,874498767,874498767
-2.494213581,18.54509926,0.544574797,3,12,35234,18.72,874498770,874498770
-1.897304773,45.26831818,1.040130615,11,13,35760,45.32,874498773,874498773
0.303816795,6.081454754,0.108187459,18,14,286,6.09,874498776,874498776
0.862233281,6.088836193,0.071592659,15,15,806,6.15,874498779,874498779
-0.619197607,4.468044758,-0.28908807,2,20,35211,4.52,874498746,874498746
0.350319147,2.547471285,-0.209920332,2,23,783,2.58,874498755,874498755
-2.443111658,17.60655785,-0.724182487,5,24,35210,17.79,874498758,874498758
-0.103419192,2.295146227,-0.107739352,1,25,35742,2.3,874498761,874498761
0.285544276,6.054952145,-0.317679256,17,26,270,6.07,874498764,874498764
0.610463858,4.450717449,-0.261625588,12,27,781,4.5,874498767,874498767
-2.436770201,18.33597374,-0.322869509,4,28,35243,18.5,874498770,874498770
-0.093484819,2.307482004,-0.053737853,1,29,35768,2.31,874498773,874498773
0.314863175,6.089283466,-0.177452266,15,30,296,6.1,874498776,874498776
0.876298189,6.103724957,-0.213403463,10,31,817,6.17,874498779,874498779
0.616876304,4.756183624,0.195394948,7,2,739,4.8,874498790,874498790
0.843737066,6.111824036,0.499812692,17,4,786,6.19,874498796,874498796
-2.29052496,18.38943291,2.269608259,3,5,35290,18.67,874498799,874498799
0.844167054,6.060274601,1.117521882,13,6,793,6.22,874498802,874498802
-1.306447387,9.804420471,2.65030694,6,7,35241,10.24,874498805,874498805
-2.501307726,18.62244987,0.109205857,4,8,35235,18.79,874498808,874498808
-0.096314006,2.297982454,0,4,9,35760,2.3,874498811,874498811
0.314356655,6.141845226,-0.037664581,7,10,293,6.15,874498814,874498814
0.852705419,5.969013691,-0.068311997,3,11,813,6.03,874498817,874498817
-2.506207705,19.08802223,0.56028372,4,12,35252,19.26,874498820,874498820
-0.088683486,2.28767848,0.052557353,1,13,35778,2.29,874498823,874498823
0.326102197,6.140376091,0.109253347,15,14,304,6.15,874498826,874498826
0.758110881,5.235033512,0.061581329,3,15,824,5.29,874498829,874498829
-0.605157793,4.469967842,-0.28908807,2,20,35229,4.52,874498796,874498796
-0.099711716,2.302214622,-0.161137462,3,21,35752,2.31,874498799,874498799
0.307611108,6.114573479,-0.465797782,15,22,288,6.14,874498802,874498802
0.359709352,2.556227684,-0.21073398,2,23,801,2.59,874498805,874498805
-2.450870991,18.0795002,-0.743314922,5,24,35228,18.26,874498808,874498808
-0.096626572,2.305440187,-0.108207785,3,25,35760,2.31,874498811,874498811
0.305568546,6.073972702,-0.318725973,15,26,288,6.09,874498814,874498814
0.624443173,4.448777676,-0.261625588,14,27,799,4.5,874498817,874498817
-2.464031935,18.99795532,-0.334388107,4,28,35261,19.16,874498820,874498820
-0.08474195,2.267802954,-0.052807327,2,29,35786,2.27,874498823,874498823
0.336729288,6.138167858,-0.178906783,11,30,314,6.15,874498826,874498826
0.228599697,1.533257246,-0.174540892,1,1,848,1.56,874498837,874498837
0.647610664,4.873077869,0.200279817,10,2,757,4.92,874498840,874498840
-2.745481014,22.04203796,1.293593168,7,3,35290,22.25,874498843,874498843
0.862933755,6.109143257,0.499812692,17,4,804,6.19,874498846,874498846
-2.23393774,18.40639305,2.270823956,3,5,35308,18.68,874498849,874498849
0.859038413,6.028376102,1.112131953,11,6,811,6.19,874498852,874498852
-1.275639534,9.808476448,2.65030694,6,7,35259,10.24,874498855,874498855
-2.511693954,19.15570831,0.112286173,5,8,35253,19.32,874498858,874498858
-0.08677002,2.238318682,0,6,9,35778,2.24,874498861,874498861
0.334735274,6.160797596,-0.037787065,11,10,311,6.17,874498864,874498864
-0.078293197,2.198026657,0.05049178,3,13,35796,2.2,874498873,874498873
0.345391124,6.139321327,0.109253347,15,14,322,6.15,874498876,874498876
0.735020459,4.965554237,0.058438238,11,15,842,5.02,874498879,874498879
-0.597650886,4.521314144,-0.292285949,2,20,35247,4.57,874498846,874498846
-0.090877257,2.262646198,-0.158347189,2,21,35770,2.27,874498849,874498849
0.325754493,6.093662739,-0.464280516,6,22,306,6.12,874498852,874498852
0.360639006,2.505759239,-0.206665754,2,23,819,2.54,874498855,874498855
-2.45174861,18.5229435,-0.761226118,5,24,35246,18.7,874498858,874498858
-0.090157233,2.325695515,-0.10914465,7,25,35778,2.33,874498861,874498861
0.324115872,6.063010693,-0.318202615,15,26,306,6.08,874498864,874498864
0.639835,4.456675529,-0.262206972,14,27,817,4.51,874498867,874498867
-2.447001934,19.34286308,-0.340321928,5,28,35279,19.5,874498870,874498870
-0.076933183,2.248075008,-0.052342065,2,29,35804,2.25,874498873,874498873
0.358326733,6.176995754,-0.180070415,15,30,332,6.19,874498876,874498876
0.230422914,1.512883663,-0.172303185,2,1,866,1.54,874498887,874498887
0.664264023,4.880919933,0.200686887,10,2,775,4.93,874498890,874498890
-2.675017595,22.04064369,1.293011785,14,3,35308,22.24,874498893,874498893
0.882121921,6.106402397,0.499812692,17,4,822,6.19,874498896,874498896
-2.173771381,18.39360428,2.268392563,3,5,35326,18.66,874498899,874498899
0.738972306,5.071667671,0.936059296,10,6,829,5.21,874498902,874498902
-1.248466015,9.841183662,2.658071518,6,7,35277,10.27,874498905,874498905
-2.487031221,19.4412365,0.113913506,4,8,35271,19.6,874498908,874498908
-0.080449663,2.258567572,0,11,9,35796,2.26,874498911,874498911
0.354088306,6.159715176,-0.037787065,11,10,329,6.17,874498914,874498914
0.811950266,5.439380169,-0.062307794,3,11,849,5.5,874498917,874498917
-0.073983431,2.278198481,0.052327845,10,13,35814,2.28,874498923,874498923
0.365269601,6.14818716,0.109430991,15,14,340,6.16,874498926,874498926
0.732673526,4.844577789,0.057041306,3,15,860,4.9,874498929,874498929
-0.578337073,4.483579159,-0.289727658,2,20,35265,4.53,874498896,874498896
-0.083399482,2.252951622,-0.157649636,3,21,35788,2.26,874498899,874498899
0.348277986,6.152340889,-0.468832284,6,22,324,6.18,874498902,874498902
0.371410936,2.524335146,-0.208293051,2,23,837,2.56,874498905,874498905
-2.462663651,19.06566238,-0.783208072,5,24,35264,19.24,874498908,874498908
-0.082139254,2.306001663,-0.108207785,11,25,35796,2.31,874498911,874498911
0.343161762,6.061962128,-0.318202615,15,26,324,6.08,874498914,874498914
0.653832853,4.454643726,-0.262206972,12,27,835,4.51,874498917,874498917
-0.070491351,2.26829052,-0.052807327,2,29,35822,2.27,874498923,874498923
0.377120316,6.16586256,-0.1797795,15,30,350,6.18,874498926,874498926
0.612938106,4.000897884,-0.140078455,3,31,871,4.05,874498929,874498929
0.235174641,1.512152314,-0.172303185,2,1,884,1.54,874498937,874498937
0.680973053,4.888705254,0.201093957,10,2,793,4.94,874498940,874498940
-2.699494362,22.84206581,1.339523077,7,3,35326,23.04,874498943,874498943
0.902757406,6.113461494,0.500620127,17,4,840,6.2,874498946,874498946
-2.118243456,18.42006493,2.270823956,3,5,35344,18.68,874498949,874498949
-1.21635735,9.8354702,2.655483484,4,7,35295,10.26,874498955,874498955
-0.073029198,2.248814583,0,21,9,35814,2.25,874498961,874498961
0.373437852,6.158572674,-0.037787065,11,10,347,6.17,874498964,874498964
